Year,Species,River,Run.Name,Total.Run,Data Source,Page,Notes
2014,Chinook,Kenai River,Late Run,13445,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
2015,Chinook,Kenai River,Late Run,22861,Fleischman and Reimer 2015,30,Includes only Chinook > 75 cm METF
1976,Sockeye,Russian River,Early Run,18080,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1977,Sockeye,Russian River,Early Run,36470,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1978,Sockeye,Russian River,Early Run,71870,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1979,Sockeye,Russian River,Early Run,28100,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1980,Sockeye,Russian River,Early Run,55890,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1981,Sockeye,Russian River,Early Run,31860,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1982,Sockeye,Russian River,Early Run,90580,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1983,Sockeye,Russian River,Early Run,29560,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1984,Sockeye,Russian River,Early Run,64790,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1985,Sockeye,Russian River,Early Run,42910,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1986,Sockeye,Russian River,Early Run,71295,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1987,Sockeye,Russian River,Early Run,215715,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1988,Sockeye,Russian River,Early Run,105186,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1989,Sockeye,Russian River,Early Run,26628,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1990,Sockeye,Russian River,Early Run,55359,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1991,Sockeye,Russian River,Early Run,97779,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1992,Sockeye,Russian River,Early Run,67629,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1993,Sockeye,Russian River,Early Run,77118,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1994,Sockeye,Russian River,Early Run,93795,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1995,Sockeye,Russian River,Early Run,52175,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1996,Sockeye,Russian River,Early Run,128108,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1997,Sockeye,Russian River,Early Run,73068,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1998,Sockeye,Russian River,Early Run,76854,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1999,Sockeye,Russian River,Early Run,70890,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2000,Sockeye,Russian River,Early Run,73468,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2001,Sockeye,Russian River,Early Run,113625,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2002,Sockeye,Russian River,Early Run,138082,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2003,Sockeye,Russian River,Early Run,46636,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2004,Sockeye,Russian River,Early Run,89309,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2005,Sockeye,Russian River,Early Run,90042,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2006,Sockeye,Russian River,Early Run,131691,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2007,Sockeye,Russian River,Early Run,64103,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2008,Sockeye,Russian River,Early Run,73481,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2009,Sockeye,Russian River,Early Run,110251,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2010,Sockeye,Russian River,Early Run,50486,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2011,Sockeye,Russian River,Early Run,51826,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2012,Sockeye,Russian River,Early Run,39346,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2013,Sockeye,Russian River,Early Run,62938,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2014,Sockeye,Russian River,Early Run,80790,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
2015,Sockeye,Russian River,Early Run,80223,Sockeye Harvest_MM,,Russian River only.  Escapement plus sport harvest.
1976,Sockeye,Russian River,Late Run,107044,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1977,Sockeye,Russian River,Late Run,98933,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1978,Sockeye,Russian River,Late Run,197086,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1979,Sockeye,Russian River,Late Run,200427,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1980,Sockeye,Russian River,Late Run,235422,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1981,Sockeye,Russian River,Late Run,121041,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1982,Sockeye,Russian River,Late Run,117151,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1983,Sockeye,Russian River,Late Run,189607,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1984,Sockeye,Russian River,Late Run,255921,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1985,Sockeye,Russian River,Late Run,575369,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1986,Sockeye,Russian River,Late Run,260196,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1987,Sockeye,Russian River,Late Run,339003,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1988,Sockeye,Russian River,Late Run,236901,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1989,Sockeye,Russian River,Late Run,478140,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1990,Sockeye,Russian River,Late Run,429142,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1991,Sockeye,Russian River,Late Run,233725,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1992,Sockeye,Russian River,Late Run,141786,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1993,Sockeye,Russian River,Late Run,394428,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1994,Sockeye,Russian River,Late Run,350707,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1995,Sockeye,Russian River,Late Run,178311,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1996,Sockeye,Russian River,Late Run,142429,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1997,Sockeye,Russian River,Late Run,247893,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1998,Sockeye,Russian River,Late Run,202948,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
1999,Sockeye,Russian River,Late Run,343474,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2000,Sockeye,Russian River,Late Run,137530,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2001,Sockeye,Russian River,Late Run,165276,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2002,Sockeye,Russian River,Late Run,185634,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2003,Sockeye,Russian River,Late Run,360465,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2004,Sockeye,Russian River,Late Run,287084,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2005,Sockeye,Russian River,Late Run,176906,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2006,Sockeye,Russian River,Late Run,156764,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2007,Sockeye,Russian River,Late Run,147171,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2008,Sockeye,Russian River,Late Run,137671,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2009,Sockeye,Russian River,Late Run,156354,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2010,Sockeye,Russian River,Late Run,66068,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2011,Sockeye,Russian River,Late Run,76709,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
2012,Sockeye,Russian River,Late Run,95942,Sockeye Harvest_MM,,Escapement plus Commercial Harvest plus Sport Harvest
